Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
8.387523000000044,1237.5,,,,-0.0619140625,-0.0142578125,-0.97568359375,0.000013795613066342071,0.004243318991937336,16.44204744134003,0.1862753458397825,0,0,3.0627442960109943,0,0,0,0,0.06455078125,,
8.884514250000196,1950,,,,-0.0259765625,-0.0220703125,-1.01474609375,0.019761053203874317,0.5713702499352377,16.293461365205694,6.594955135194202,0,6543,106.88987883917358,23.18910962443437,12.476773859257282,0.03864353090654308,0.0030598446615020727,0.1748046875,,
9.391098000000046,1950,,,,-0.0578125,-0.014453125,-1.003125,0.10499202707316109,6.193028318890253,16.150775374584004,12.58223830484884,0,11347,203.2121781617953,124.74454867982715,61.32650356407987,0.04937676183145823,0.030412654476467623,0.33125,,
9.886361000000033,1950,,,,-0.03818359375,-0.02021484375,-1.01455078125,0.11690035185535012,7.369210292426409,16.14558833415312,12.74483284997667,0,11326,205.7728246516246,138.64409174823314,67.37726006597215,0.053151892534532605,0.035812373342815854,0.40224609375,,
10.383121999999974,1950,,,,-0.06005859375,-0.01376953125,-0.98876953125,0.11716212251880094,7.403875355312164,16.14541806526834,12.737277205487548,0,11303,205.64866545216327,138.67427486958616,67.43261344882463,0.05339043283548341,0.036002551791362254,0.43349609375,,
10.8879747500001,1950,,,,-0.03916015625,-0.02001953125,-0.99130859375,0.11697466209877952,7.39931045473808,16.144825467913915,12.711645596805777,0,11286,205.22730086846045,138.24695562614994,67.36281809327166,0.05352249678709866,0.036054222838680525,0.45546875,,
11.383936750000156,1950,,,,-0.0599609375,-0.0166015625,-1.01259765625,0.1168246717016915,7.394403968070691,16.14487850240273,12.696060045415292,0,11269,204.9763465939142,137.86877156992458,67.2608177739364,0.05363365573195129,0.03607443037674024,0.49140625,,
11.882914250000006,1950,,,,-0.05224609375,-0.01767578125,-0.9958984375,0.116649470280249,7.370594038709953,16.1446357817936,12.672581148336464,0,11259,204.59420379504382,137.530233210807,67.22100699608657,0.05359253947238945,0.03602544347203398,0.494140625,,
12.383016250000056,1950,,,,-0.04228515625,-0.02294921875,-1.01748046875,0.11630134159640342,7.356449244311213,16.14528123233668,12.646578262003489,0,11246,204.18256233487932,136.9692547324181,67.0817349253932,0.05370887627374299,0.03602877760551875,0.50732421875,,
12.88582450000006,1950,,,,-0.05458984375,-0.01435546875,-0.99384765625,0.11610096422300613,7.333161863382841,16.145657611299164,12.626280005861764,0,11239,203.8595882381232,136.64951646649234,67.03116543882248,0.05366405131206385,0.03597162110435624,0.497265625,,
