Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State 1,Pin State 2,Pin State 3,Pin State 4,Debug 0,Debug 1,Debug 2,Debug 3,App message,
6.7616100000000445,1000,,,,0,-0.04296875,-0.95703125,-0.12353600670608901,-18.457621914413494,16.030285646400568,0.01432369557784599,0,0,0.22961293162495588,0,0,0,0,-0.21378965365545405,-0.9480802112769204,1.1166265359316392,0.05859375,0.013637054991736064,0,1,1,1,0,0,0,0,,
6.771110000000045,1000,,,,0,-0.04296875,-0.958984375,-0.12353600670608901,-18.457621914413494,16.03024461420566,0.014061080614682336,0,0,0.22540256179342313,0,0,0,0,-0.21378965365545405,-0.9480802112769204,1.1166265359316392,0.05859375,0.013625646206315373,0,1,1,1,0,0,0,0,,
6.779324999999954,1000,,,,0,-0.046875,-0.95703125,-0.12353600670608901,-18.45507071673192,16.030265011309645,0.013925578112863157,0,0,0.22323070758488966,0,0,0,0,-0.21378965365545405,-0.9480802112769204,1.1163652443743861,0.05859375,0.013619787213869361,0,1,1,1,0,0,0,0,,
6.795015000000014,1000,,,,0,-0.046875,-0.95703125,-0.12353600670608901,-18.45507071673192,16.030049054288135,0.013546203103240395,0,0,0.21714630024429368,0,0,0,0,-0.21378965365545405,-0.9480802112769204,1.1163652443743861,0.05859375,0.01360141497069095,0,1,1,1,0,0,0,0,,
6.8067200000000305,1000,,,,0,-0.048828125,-0.95703125,-0.12353600670608901,-18.45507071673192,16.02994440104707,0.013927594507428143,0,0,0.22325856559440171,0,0,0,0,-0.21378965365545405,-0.9480802112769204,1.1163652443743861,0.05859375,0.013620823006564281,0,1,1,1,0,0,0,0,,
6.824885000000009,1000,,,,0,-0.046875,-0.95703125,-0.12353600670608901,-18.45507071673192,16.029788625037902,0.013799318551903611,0,0,0.221200159556579,0,0,0,0,-0.21378965365545405,-0.9480802112769204,1.1163652443743861,0.05859375,0.013615987407736535,0,1,1,1,0,0,0,0,,
6.838219999999972,1000,,,,0,-0.046875,-0.95703125,-0.12353600670608901,-18.45507071673192,16.029806318736576,0.013111178045547983,0,0,0.21016964468060534,0,0,0,0,-0.21378965365545405,-0.9480802112769204,1.1163652443743861,0.05859375,0.013580912722730043,0,1,1,1,0,0,0,0,,
6.847319999999948,1000,,,,0,-0.046875,-0.95703125,-0.12353600670608901,-18.45507071673192,16.029794776506797,0.013368983704129117,0,0,0.2143020651476534,0,0,0,0,-0.21378965365545405,-0.9480802112769204,1.1163652443743861,0.05859375,0.013592820214675921,0,1,1,1,0,0,0,0,,
6.8618099999999975,1000,,,,0,-0.046875,-0.95703125,-0.12354175335994286,-18.45507071673192,16.029638786782137,0.013750497892593166,0,0,0.22041551435667744,0,0,0,0,-0.2137423491931287,-0.9481619130718187,1.1163652443743861,0.05859375,0.013611728673200596,0,1,1,1,0,0,0,0,,
6.8722749999999655,1000,,,,0,-0.04296875,-0.9609375,-0.12354175335994286,-18.45507071673192,16.029401062051292,0.01481014790066762,0,0,0.23739780048809825,0,0,0,0,-0.2137423491931287,-0.9481619130718187,1.1163652443743861,0.05859375,0.013666918221627994,0,1,1,1,0,0,0,0,,
6.886890000000014,1000,,,,0,-0.05078125,-0.95703125,-0.12354175335994286,-18.45507071673192,16.02919793438187,0.014853075148829192,0,0,0.23808288149483156,0,0,0,0,-0.2137423491931287,-0.9481619130718187,1.1163652443743861,0.05859375,0.013674203107249677,0,1,1,1,0,0,0,0,,
6.897574999999954,1000,,,,0,-0.044921875,-0.958984375,-0.12354175335994286,-18.45507071673192,16.029118519581306,0.014268897337138514,0,0,0.22871784656073135,0,0,0,0,-0.2137423491931287,-0.9481619130718187,1.1163652443743861,0.05859375,0.013648058419466425,0,1,1,1,0,0,0,0,,
6.912554999999993,1000,,,,0,-0.046875,-0.958984375,-0.12354175335994286,-18.45507071673192,16.02901733874704,0.013112402314005511,0,0,0.21017892404382113,0,0,0,0,-0.2137423491931287,-0.9481619130718187,1.1163652443743861,0.05859375,0.013590485790118317,0,1,1,1,0,0,0,0,,
6.923385000000067,1000,,,,0,-0.04296875,-0.95703125,-0.12354175335994286,-18.45507071673192,16.028821994529427,0.012991690692135571,0,0,0.20824149751222587,0,0,0,0,-0.2137423491931287,-0.9481619130718187,1.1163652443743861,0.05859375,0.013582655624041484,0,1,1,1,0,0,0,0,,
6.936869999999995,1000,,,,0,-0.044921875,-0.95703125,-0.12354175335994286,-18.453265066134517,16.028864052680632,0.013383965074835302,0,0,0.21452975667036062,0,0,0,0,-0.2137423491931287,-0.9481619130718187,1.116180311133086,0.05859375,0.013600558721663408,0,1,1,1,0,0,0,0,,
6.9455699999999485,1000,,,,0,-0.046875,-0.95703125,-0.12354175335994286,-18.453265066134517,16.02892369186274,0.013485416459776078,0,0,0.21615671138674053,0,0,0,0,-0.2137423491931287,-0.9481619130718187,1.116180311133086,0.05859375,0.013605180418150231,0,1,1,1,0,0,0,0,,
6.961800000000046,1000,,,,0,-0.046875,-0.9609375,-0.12354175335994286,-18.453265066134517,16.029066492452987,0.013568765899724361,0,0,0.21749465082721045,0,0,0,0,-0.2137423491931287,-0.9481619130718187,1.116180311133086,0.05859375,0.013609011122741682,0,1,1,1,0,0,0,0,,
6.973499999999942,1000,,,,0,-0.044921875,-0.95703125,-0.12354175335994286,-18.453265066134517,16.029173697237518,0.013446631944422666,0,0,0.21553839907997357,0,0,0,0,-0.2137423491931287,-0.9481619130718187,1.116180311133086,0.05859375,0.01360244481739284,0,1,1,1,0,0,0,0,,
6.9848100000000555,1000,,,,0,-0.044921875,-0.95703125,-0.12354175335994286,-18.453265066134517,16.029184234803832,0.013728303800975061,0,0,0.22005351085718697,0,0,0,0,-0.2137423491931287,-0.9481619130718187,1.116180311133086,0.05859375,0.013616464809697082,0,1,1,1,0,0,0,0,,
6.995359999999986,1000,,,,0,-0.046875,-0.95703125,-0.12354175335994286,-18.453265066134517,16.02930579565663,0.013671313167915172,0,0,0.21914165939669947,0,0,0,0,-0.2137423491931287,-0.9481619130718187,1.116180311133086,0.05859375,0.013613905975137147,0,1,1,1,0,0,0,0,,
7.009114999999932,1000,,,,0,-0.046875,-0.95703125,-0.12353433226486173,-18.453265066134517,16.029197059541936,0.013740619493614492,0,0,0.22025109758333003,0,0,0,0,-0.21366452225821728,-0.9481937233091873,1.116180311133086,0.05859375,0.013617767668923642,0,1,1,1,0,0,0,0,,
7.021609999999986,1000,,,,0,-0.046875,-0.95703125,-0.12353433226486173,-18.453265066134517,16.02905057062689,0.013892155229021458,0,0,0.22267805870098373,0,0,0,0,-0.21366452225821728,-0.9481937233091873,1.116180311133086,0.05859375,0.013626093106541393,0,1,1,1,0,0,0,0,,
